n1,n2,n3
2.007354,1.82249,1.53916
2.037634,1.85762,1.592904
2.064492,1.889217,1.642803
2.087958,1.917408,1.688781
2.108045,1.942357,1.73082
2.12477,1.964237,1.768962
2.138186,1.983222,1.803305
2.148381,1.999477,1.833977
2.155493,2.013172,1.861131
2.15972,2.024484,1.884931
2.161313,2.033576,1.905548
2.160555,2.040597,1.923178
2.157727,2.045678,1.938035
2.153096,2.048943,1.950342
2.146902,2.050508,1.960319
2.139353,2.050486,1.968164
2.13063,2.048984,1.974055
2.120886,2.046109,1.978142
2.110243,2.041955,1.980545
2.098788,2.036587,1.981347
2.086561,2.030047,1.980589
2.073551,2.022338,1.978265
2.059698,2.013424,1.974313
2.044918,2.003237,1.968625
2.029139,1.991718,1.961088
2.012374,1.978883,1.95168
1.994776,1.964883,1.940553
1.976515,1.949901,1.927928
1.957753,1.934106,1.914039
1.938641,1.917647,1.89913
1.919318,1.900657,1.883441
1.899913,1.88325,1.867196
1.880544,1.865536,1.850604
1.861309,1.847621,1.833851
1.842289,1.8296,1.817106
1.823552,1.811556,1.800527
1.805139,1.793549,1.784248
1.787089,1.775612,1.768366
1.769434,1.757733,1.752949
1.752193,1.739867,1.738037
1.73537,1.721948,1.723648
1.718947,1.703941,1.709771
1.702901,1.685845,1.696392
1.687183,1.667686,1.683501
1.67172,1.649498,1.671088
1.656429,1.631309,1.659147
1.641239,1.613128,1.64767
1.626085,1.594953,1.636654
1.610914,1.576771,1.626099
1.595681,1.558562,1.616005
1.580358,1.540292,1.606373
1.564921,1.52191,1.597201
1.549353,1.503346,1.588483
1.533631,1.484515,1.580217
1.517719,1.465318,1.572392
1.501559,1.445647,1.564984
1.485077,1.425394,1.557942
1.468197,1.404451,1.551172
1.450865,1.382695,1.544534
1.433042,1.359968,1.537863
1.414696,1.336069,1.530976
1.395813,1.310739,1.523678
1.376385,1.283662,1.515785
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
1.356371,1.254477,1.507105
