srep1,srep2,srep3
.7573033,.7469823,.6307862
.739871,.730417,.6183767
.7224386,.7138516,.6059671
.7050062,.6972863,.5935575
.6875739,.680721,.581148
.6701415,.6641557,.5687385
.6527091,.6475904,.5563289
.6352768,.6310251,.5439193
.6178444,.6144598,.5315098
.6004121,.5978944,.5191002
.5829797,.5813291,.5066907
.5655473,.5647638,.4942811
.548115,.5481985,.4818716
.5306826,.5316331,.469462
.5132502,.5150679,.4570525
.4958179,.4985025,.444643
.4783855,.4819372,.4322334
.4609531,.4653719,.4198239
.4435208,.4488066,.4074143
.4260884,.4322413,.3950047
.4086561,.4156759,.3825952
.3912237,.3991106,.3701856
.3737913,.3825453,.3577761
.3563589,.36598,.3453665
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
.3389266,.3494147,.332957
