hinet,strata,hatota
43209.106,2,15458.12
37264.419,3,32369.32
29397.3,3,50386.21
8313.646,3,3680.91
40656.749,3,39724.68
58737.308,3,30431.29
44837.899,2,375.38
46667.384,2,30977.96
29934.184,1,21957.91
47866.414,3,80907.14
68310.875,3,74815.89
34243.4,3,13028.96
9504.3659,3,6742.262
42627.494,2,49200.29
43450.597,3,39724.68
22524.985,2,6377.815
37625.866,2,9111.164
90449.812,3,111460.4
38039.298,3,49622.78
28298.548,3,16582.32
26380.632,1,22995.55
13016.009,1,2733.349
44063.414,2,27515.72
41520.68,2,22139.39
49846.732,2,3832.591
30943.337,1,4555.582
26036.081,2,23055.51
34287.134,2,4008.912
41486.776,3,38449.11
26250.406,2,1221.484
23010.695,3,11657.54
28136.369,1,364.4466
33287.566,1,69335.96
45177.039,3,20917.91
90449.812,3,111460.4
17460.501,3,0
17686.964,2,9161.129
35156.138,2,48706.67
28163.429,3,21502.35
54987.7,2,64689.27
64480.05,3,141167.1
35801.41,1,8956.274
17985.456,1,27466.9
46667.384,2,30977.96
31654.463,2,8291.159
11460.725,2,4580.564
22284.904,2,21375.97
29270.723,2,36644.52
31240.061,2,4305.73
80397.097,3,100222.8
15789.847,2,4687.444
17985.456,1,27466.9
45451.72,2,68326.76
17686.964,2,9161.129
15216.33,2,2290.282
34892.844,2,36043.77
25706.33,1,4920.029
20960.252,3,23233.47
26380.632,1,22995.55
37976.967,3,24273.08
37164.487,3,43515.36
28287.432,2,21866.79
36894.235,2,111145.1
33082.364,2,2042.932
31715.326,3,18222.33
9914.3683,1,6377.815
40653.579,3,15421.23
17460.501,3,0
42627.494,2,49200.29
22859.873,2,25550.61
51258.5,2,38813.56
30639.024,2,10568.95
48327.704,3,15268.55
37164.487,3,43515.36
58737.308,3,30431.29
21676.957,3,10382.61
21406.81,3,13741.69
15680.341,2,1795.581
68890.774,3,62329.27
31209.6,1,8245.017
34582.3,2,305.371
20960.252,3,23233.47
43478.993,2,69874.98
37976.967,3,24273.08
33340.082,2,34659.61
26250.406,2,1221.484
28287.432,2,21866.79
26258.376,3,55304.77
28163.429,3,21502.35
15650.201,2,1526.855
16552.481,1,3960.661
17506.191,2,16400.1
13872.453,2,12062.15
26710.644,3,3832.591
44063.414,2,27515.72
29359.281,2,25193.11
49071.847,3,41225.08
55304.041,3,96191.85
28247.015,2,1277.53
36508.626,3,23055.51
17599.369,2,8397.701
35546.297,2,17311.21
37264.419,3,32369.32
15283.262,1,6451.528
37164.487,3,43515.36
49071.847,3,41225.08
26214.502,2,30660.73
19498.074,1,6924.485
18531.666,2,2801.779
9504.3659,3,6742.262
21298.258,3,911.1165
35801.41,1,8956.274
41211.797,2,35423.03
58154.542,3,35117.66
15650.201,2,1526.855
8313.646,3,3680.91
38039.298,3,49622.78
48903.446,2,54120.32
11179.097,2,12825.58
22397.976,3,20409.01
14479.172,2,7026.417
29397.3,3,50386.21
32882.376,3,28246.81
42220.131,1,18013.18
47609.479,3,54120.32
16075.01,2,1548.898
21454.97,2,4373.359
24358.151,1,8336.716
13016.009,1,2733.349
20864.371,2,70264.17
31715.326,3,18222.33
22352.329,3,2551.126
26258.376,3,55304.77
40681.167,2,10933.4
25162.303,2,11434.51
47866.414,3,80907.14
24418.832,3,0
20647.49,3,6870.847
26767.143,2,6742.262
43450.597,3,39724.68
34582.3,2,305.371
43617.326,2,34354.23
24150.052,1,19716.56
17506.191,2,16400.1
35812.831,1,1405.283
52703.166,3,59404.79
35646.884,2,8382.271
18531.666,2,2801.779
23768.442,3,1984.911
15789.847,2,4687.444
29257.771,3,37173.55
34283.065,3,33599.05
28136.369,1,364.4466
21982.762,2,34804.65
42220.131,1,18013.18
44820.551,3,9111.164
31240.061,2,4305.73
46192.718,2,27738.37
15216.33,2,2290.282
13681.015,3,180546.8
26250.406,2,1221.484
33454.535,2,32577.03
48562.507,2,63413.7
34283.065,3,33599.05
62865.744,3,45805.64
35551.192,3,35770.85
35551.192,3,35770.85
35110.71,3,31216.67
24358.151,1,8336.716
37976.967,3,24273.08
29257.771,3,37173.55
66399.898,3,69625.41
42514.51,2,7328.903
45177.039,3,20917.91
49071.847,3,41225.08
41083.078,3,33215.79
28255.543,3,66784.84
17686.964,2,9161.129
42993.728,1,59547.34
61589.812,2,16948.09
53721.188,3,12775.3
47995.974,3,68333.73
29257.771,3,37173.55
21406.81,3,13741.69
25123.125,3,0
17985.456,1,27466.9
29094.499,2,11662.29
27960.341,2,20682.34
17686.964,2,9161.129
21406.81,3,13741.69
32882.376,3,28246.81
45119.553,3,14505.12
41305.777,2,136951.3
31874.498,3,4008.912
26466.196,3,3206.395
31240.061,2,4305.73
57939.717,3,11480.07
9914.3683,1,6377.815
29257.771,3,37173.55
40681.167,2,10933.4
55088.388,2,44713.56
31654.463,2,8291.159
43527.377,2,19801.72
48903.446,2,54120.32
26680.078,3,14657.81
23065.99,3,65556.47
35626.293,2,37264.66
35924.726,2,51149.64
25123.125,3,0
31209.6,1,8245.017
22859.873,2,25550.61
52507.641,2,24600.14
57939.717,3,11480.07
19395.847,2,5466.699
33340.082,2,34659.61
26466.196,3,3206.395
50319.139,2,4008.912
19605.335,3,4580.564
40116.626,2,15713.62
29257.771,3,37173.55
35802.457,2,84317.01
43209.106,2,15458.12
66399.898,3,69625.41
35646.884,2,8382.271
34243.4,3,13028.96
11460.725,2,4580.564
41211.797,2,35423.03
41160.982,2,0
47995.974,3,68333.73
35646.884,2,8382.271
68310.875,3,74815.89
18531.666,2,2801.779
35110.71,3,31216.67
21406.81,3,13741.69
28136.369,1,364.4466
38039.298,3,49622.78
23001.135,1,13666.75
23001.135,1,13666.75
17816.106,2,9924.557
28411.211,3,28246.81
27872.583,2,10220.24
38039.298,3,49622.78
41160.982,2,0
53562.266,2,38171.37
27991.524,2,1984.911
48327.704,3,15268.55
36724.416,3,27483.39
43527.377,2,19801.72
21454.97,2,4373.359
34582.3,2,305.371
22284.904,2,21375.97
32843.926,3,19315.67
15971.051,1,7653.378
48142.787,3,35770.85
42220.131,1,18013.18
41160.982,2,0
33942.792,2,13818.04
47033.507,3,57855.89
26258.376,3,55304.77
15971.051,1,7653.378
17043.891,2,16308.98
29397.3,3,50386.21
24358.151,1,8336.716
44837.899,2,375.38
21406.81,3,13741.69
35626.293,2,37264.66
28163.429,3,21502.35
20746.121,1,546.6699
38039.298,3,49622.78
30538.955,2,7665.182
25162.303,2,11434.51
53562.266,2,38171.37
39320.024,3,48859.36
32882.376,3,28246.81
45451.72,2,68326.76
57939.717,3,11480.07
33082.364,2,2042.932
58003.536,3,2442.968
23398.071,3,1916.296
81018.43,3,33909.92
43450.597,3,39724.68
90449.812,3,111460.4
38042.632,2,45991.09
17985.456,1,27466.9
16075.01,2,1548.898
41520.68,2,22139.39
28255.543,3,66784.84
17460.501,3,0
31874.498,3,4008.912
39176.3,2,25550.61
41305.777,2,136951.3
55304.041,3,96191.85
58003.536,3,2442.968
42993.728,1,59547.34
30241.803,3,8703.072
21676.957,3,10382.61
57774.813,3,50844.27
32843.926,3,19315.67
41486.776,3,38449.11
47609.479,3,54120.32
22397.976,3,20409.01
9829.5097,3,24200.65
37164.487,3,43515.36
47856.391,1,7653.378
