mx1,mx2,mx3
.0004136,.0001558,.0001006
.0004524,.0001728,.0001121
.0004948,.0001918,.000125
.0005411,.0002127,.0001394
.0005918,.000236,.0001554
.0006473,.0002619,.0001733
.000708,.0002906,.0001932
.0007743,.0003224,.0002154
.0008469,.0003577,.0002401
.0009262,.0003969,.0002677
.001013,.0004403,.0002985
.001108,.0004885,.0003328
.0012118,.000542,.000371
.0013254,.0006014,.0004137
.0014496,.0006672,.0004612
.0015854,.0007403,.0005142
.001734,.0008214,.0005733
.0018965,.0009113,.0006392
.0020742,.0010111,.0007126
.0022686,.0011218,.0007945
.0024812,.0012446,.0008858
.0027138,.0013809,.0009876
.0029681,.0015321,.0011011
.0032463,.0016999,.0012276
.0035505,.0018861,.0013687
.0038832,.0020926,.001526
.0042471,.0023217,.0017013
.0046452,.002576,.0018968
.0050805,.002858,.0021148
.0055566,.003171,.0023578
.0060774,.0035182,.0026287
.0066469,.0039035,.0029308
.0072698,.0043309,.0032676
.0079511,.0048052,.0036431
.0086963,.0053314,.0040618
.0095113,.0059152,.0045285
.0104026,.0065629,.0050489
.0113775,.0072815,.0056291
.0124438,.0080789,.006276
.01361,.0089635,.0069972
.0148855,.0099451,.0078013
.0162805,.0110341,.0086978
.0178062,.0122423,.0096973
.0194749,.0135829,.0108116
.0213001,.0150702,.012054
.0232962,.0167205,.0134392
.0254794,.0185514,.0149836
.0278673,.0205828,.0167054
.0304789,.0228367,.0186251
.0333353,.0253373,.0207654
.0364593,.0281118,.0231517
.0398761,.0311901,.0258121
.0436132,.0346055,.0287783
.0477004,.0383949,.0320854
.0521707,.0425992,.0357725
.05706,.0472639,.0398833
.0624074,.0524394,.0444664
.068256,.0581817,.0495763
.0746527,.0645527,.0552733
.0816489,.0716214,.061625
.0893007,.079464,.0687067
.0976696,.0881655,.0766021
.1068228,.0978199,.0854048
.1168339,.1085314,.0952191
.1277831,.1204158,.1061612
.1397585,.1336016,.1183606
.1528561,.1482312,.131962
.1671812,.1644629,.1471264
.1828488,.1824719,.1640334
.1999846,.202453,.1828833
.2187264,.2246221,.2038993
.2392246,.2492187,.2273303
.2616439,.2765087,.2534539
.2861641,.306787,.2825795
.3129823,.3403809,.3150521
.3423138,.3776534,.3512563
